family,generation,size,base_id,instruct_id,attribute,layer,depth_frac,cosine
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,gender,0,0.0,0.9188800357437177
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,gender,1,0.03225806451612903,0.8520773649215698
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,gender,2,0.06451612903225806,0.8535310538727673
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,gender,3,0.0967741935483871,0.8553094267845154
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,gender,4,0.12903225806451613,0.8695829355219494
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,gender,5,0.16129032258064516,0.872366957209525
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,gender,6,0.1935483870967742,0.8586810743022605
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,gender,7,0.22580645161290322,0.8450215458869934
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,gender,8,0.25806451612903225,0.8295648097991943
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,gender,9,0.2903225806451613,0.8275648355484009
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,gender,10,0.3225806451612903,0.796198939823975
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,gender,11,0.3548387096774194,0.7625359296798706
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,gender,12,0.3870967741935484,0.7731556161138783
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,gender,13,0.41935483870967744,0.8080768585205078
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,gender,14,0.45161290322580644,0.8160934667475859
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,gender,15,0.4838709677419355,0.8320962190628052
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,gender,16,0.5161290322580645,0.8367903232574463
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,gender,17,0.5483870967741935,0.8463401794433594
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,gender,18,0.5806451612903226,0.8569286380367659
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,gender,19,0.6129032258064516,0.8473227529122086
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,gender,20,0.6451612903225806,0.8523350954055786
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,gender,21,0.6774193548387096,0.8588226353420397
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,gender,22,0.7096774193548387,0.8620120286941528
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,gender,23,0.7419354838709677,0.8619998015165211
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,gender,24,0.7741935483870968,0.8625687792979185
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,gender,25,0.8064516129032258,0.8661936521530151
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,gender,26,0.8387096774193549,0.8643373766146527
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,gender,27,0.8709677419354839,0.868609062946383
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,gender,28,0.9032258064516129,0.8662617962048297
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,gender,29,0.9354838709677419,0.8638829345493735
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,gender,30,0.967741935483871,0.8547061172302952
llama,Llama 2,7B,meta-llama/Llama-2-7b-hf,meta-llama/Llama-2-7b-chat-hf,gender,31,1.0,0.8814799785614014
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,0,0.0,0.8913716077804565
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,1,0.02564102564102564,0.8281265497207642
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,2,0.05128205128205128,0.8345784146096212
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,3,0.07692307692307693,0.8051510453224182
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,4,0.10256410256410256,0.8075711612445808
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,5,0.1282051282051282,0.8774446249008179
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,6,0.15384615384615385,0.8610394597053528
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,7,0.1794871794871795,0.8385937213897705
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,8,0.20512820512820512,0.8351022502840907
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,9,0.23076923076923078,0.8314518533406432
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,10,0.2564102564102564,0.8203801512718201
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,11,0.28205128205128205,0.7990942001342773
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,12,0.3076923076923077,0.8009282350540161
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,13,0.3333333333333333,0.8057344555854797
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,14,0.358974358974359,0.8220721973223803
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,15,0.38461538461538464,0.8362672328948975
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,16,0.41025641025641024,0.8495883851998082
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,17,0.4358974358974359,0.8525668558398657
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,18,0.46153846153846156,0.866040825843811
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,19,0.48717948717948717,0.8719677252750233
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,20,0.5128205128205128,0.8787813186645508
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,21,0.5384615384615384,0.8925762176513672
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,22,0.5641025641025641,0.8913690979104697
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,23,0.5897435897435898,0.8892454438951876
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,24,0.6153846153846154,0.8897851705551147
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,25,0.6410256410256411,0.8896108269691467
llama,Llama 2,13B,meta-llama/Llama-2-13b-hf,meta-llama/Llama-2-13b-chat-hf,gender,26,0.6666666666666666,0.8880712323231239
