model_id,family,generation,size,variant,attribute,layer,layer_normalized,mean_accuracy,std_accuracy
meta-llama/Llama-2-7b-hf,llama,Llama 2,7B,base,gender,0,0.0,0.525,0.1457737973711325
meta-llama/Llama-2-7b-hf,llama,Llama 2,7B,base,gender,1,0.03225806451612903,0.7,0.09999999999999999
meta-llama/Llama-2-7b-hf,llama,Llama 2,7B,base,gender,2,0.06451612903225806,0.75,0.07905694150420949
meta-llama/Llama-2-7b-hf,llama,Llama 2,7B,base,gender,3,0.0967741935483871,0.725,0.1224744871391589
meta-llama/Llama-2-7b-hf,llama,Llama 2,7B,base,gender,4,0.12903225806451613,0.775,0.09354143466934853
meta-llama/Llama-2-7b-hf,llama,Llama 2,7B,base,gender,5,0.16129032258064516,0.825,0.06123724356957945
meta-llama/Llama-2-7b-hf,llama,Llama 2,7B,base,gender,6,0.1935483870967742,0.8,0.09999999999999999
meta-llama/Llama-2-7b-hf,llama,Llama 2,7B,base,gender,7,0.22580645161290322,0.725,0.09354143466934853
meta-llama/Llama-2-7b-hf,llama,Llama 2,7B,base,gender,8,0.25806451612903225,0.7,0.1
meta-llama/Llama-2-7b-hf,llama,Llama 2,7B,base,gender,9,0.2903225806451613,0.8,0.1274754878398196
meta-llama/Llama-2-7b-hf,llama,Llama 2,7B,base,gender,10,0.3225806451612903,0.775,0.1224744871391589
meta-llama/Llama-2-7b-hf,llama,Llama 2,7B,base,gender,11,0.3548387096774194,0.725,0.09354143466934853
meta-llama/Llama-2-7b-hf,llama,Llama 2,7B,base,gender,12,0.3870967741935484,0.75,0.07905694150420949
meta-llama/Llama-2-7b-hf,llama,Llama 2,7B,base,gender,13,0.41935483870967744,0.775,0.09354143466934853
meta-llama/Llama-2-7b-hf,llama,Llama 2,7B,base,gender,14,0.45161290322580644,0.825,0.09999999999999999
meta-llama/Llama-2-7b-hf,llama,Llama 2,7B,base,gender,15,0.4838709677419355,0.8,0.09999999999999999
meta-llama/Llama-2-7b-hf,llama,Llama 2,7B,base,gender,16,0.5161290322580645,0.825,0.12747548783981963
meta-llama/Llama-2-7b-hf,llama,Llama 2,7B,base,gender,17,0.5483870967741935,0.8,0.15
meta-llama/Llama-2-7b-hf,llama,Llama 2,7B,base,gender,18,0.5806451612903226,0.8,0.09999999999999999
meta-llama/Llama-2-7b-hf,llama,Llama 2,7B,base,gender,19,0.6129032258064516,0.8,0.09999999999999999
meta-llama/Llama-2-7b-hf,llama,Llama 2,7B,base,gender,20,0.6451612903225806,0.775,0.1224744871391589
meta-llama/Llama-2-7b-hf,llama,Llama 2,7B,base,gender,21,0.6774193548387096,0.775,0.1224744871391589
meta-llama/Llama-2-7b-hf,llama,Llama 2,7B,base,gender,22,0.7096774193548387,0.775,0.1224744871391589
meta-llama/Llama-2-7b-hf,llama,Llama 2,7B,base,gender,23,0.7419354838709677,0.775,0.1224744871391589
meta-llama/Llama-2-7b-hf,llama,Llama 2,7B,base,gender,24,0.7741935483870968,0.775,0.1224744871391589
meta-llama/Llama-2-7b-hf,llama,Llama 2,7B,base,gender,25,0.8064516129032258,0.8,0.09999999999999999
meta-llama/Llama-2-7b-hf,llama,Llama 2,7B,base,gender,26,0.8387096774193549,0.775,0.1224744871391589
meta-llama/Llama-2-7b-hf,llama,Llama 2,7B,base,gender,27,0.8709677419354839,0.8,0.09999999999999999
meta-llama/Llama-2-7b-hf,llama,Llama 2,7B,base,gender,28,0.9032258064516129,0.8,0.09999999999999999
meta-llama/Llama-2-7b-hf,llama,Llama 2,7B,base,gender,29,0.9354838709677419,0.775,0.1224744871391589
meta-llama/Llama-2-7b-hf,llama,Llama 2,7B,base,gender,30,0.967741935483871,0.8,0.09999999999999999
meta-llama/Llama-2-7b-hf,llama,Llama 2,7B,base,gender,31,1.0,0.8,0.09999999999999999
meta-llama/Llama-2-7b-chat-hf,llama,Llama 2,7B,instruct,gender,0,0.0,0.6,0.1457737973711325
meta-llama/Llama-2-7b-chat-hf,llama,Llama 2,7B,instruct,gender,1,0.03225806451612903,0.625,0.11180339887498948
meta-llama/Llama-2-7b-chat-hf,llama,Llama 2,7B,instruct,gender,2,0.06451612903225806,0.625,0.15811388300841897
meta-llama/Llama-2-7b-chat-hf,llama,Llama 2,7B,instruct,gender,3,0.0967741935483871,0.625,0.13693063937629152
meta-llama/Llama-2-7b-chat-hf,llama,Llama 2,7B,instruct,gender,4,0.12903225806451613,0.7,0.09999999999999999
meta-llama/Llama-2-7b-chat-hf,llama,Llama 2,7B,instruct,gender,5,0.16129032258064516,0.75,0.11180339887498948
meta-llama/Llama-2-7b-chat-hf,llama,Llama 2,7B,instruct,gender,6,0.1935483870967742,0.75,0.11180339887498948
meta-llama/Llama-2-7b-chat-hf,llama,Llama 2,7B,instruct,gender,7,0.22580645161290322,0.8,0.1274754878398196
meta-llama/Llama-2-7b-chat-hf,llama,Llama 2,7B,instruct,gender,8,0.25806451612903225,0.725,0.1457737973711325
meta-llama/Llama-2-7b-chat-hf,llama,Llama 2,7B,instruct,gender,9,0.2903225806451613,0.725,0.1457737973711325
meta-llama/Llama-2-7b-chat-hf,llama,Llama 2,7B,instruct,gender,10,0.3225806451612903,0.75,0.13693063937629152
meta-llama/Llama-2-7b-chat-hf,llama,Llama 2,7B,instruct,gender,11,0.3548387096774194,0.7,0.12747548783981963
meta-llama/Llama-2-7b-chat-hf,llama,Llama 2,7B,instruct,gender,12,0.3870967741935484,0.75,0.11180339887498948
meta-llama/Llama-2-7b-chat-hf,llama,Llama 2,7B,instruct,gender,13,0.41935483870967744,0.775,0.1224744871391589
meta-llama/Llama-2-7b-chat-hf,llama,Llama 2,7B,instruct,gender,14,0.45161290322580644,0.775,0.1224744871391589
meta-llama/Llama-2-7b-chat-hf,llama,Llama 2,7B,instruct,gender,15,0.4838709677419355,0.775,0.1224744871391589
meta-llama/Llama-2-7b-chat-hf,llama,Llama 2,7B,instruct,gender,16,0.5161290322580645,0.75,0.22360679774997896
