model_a,model_b,layer,hidden_dim,cosine
Qwen__Qwen2.5-7B,google__gemma-2-9b,0,3584,-0.012546493671834469
Qwen__Qwen2.5-7B,google__gemma-2-9b,1,3584,-0.010699599981307983
Qwen__Qwen2.5-7B,google__gemma-2-9b,2,3584,0.015859374776482582
Qwen__Qwen2.5-7B,google__gemma-2-9b,3,3584,0.02740241400897503
Qwen__Qwen2.5-7B,google__gemma-2-9b,4,3584,0.000931949820369482
Qwen__Qwen2.5-7B,google__gemma-2-9b,5,3584,-9.47839580476284e-05
Qwen__Qwen2.5-7B,google__gemma-2-9b,6,3584,-0.006420842371881008
Qwen__Qwen2.5-7B,google__gemma-2-9b,7,3584,-0.021967530250549316
Qwen__Qwen2.5-7B,google__gemma-2-9b,8,3584,-0.006460785865783691
Qwen__Qwen2.5-7B,google__gemma-2-9b,9,3584,0.007950522936880589
Qwen__Qwen2.5-7B,google__gemma-2-9b,10,3584,-0.00015469991194549948
Qwen__Qwen2.5-7B,google__gemma-2-9b,11,3584,0.013350799679756165
Qwen__Qwen2.5-7B,google__gemma-2-9b,12,3584,0.006963625550270081
Qwen__Qwen2.5-7B,google__gemma-2-9b,13,3584,0.0010116215562447906
Qwen__Qwen2.5-7B,google__gemma-2-9b,14,3584,0.007456357125192881
Qwen__Qwen2.5-7B,google__gemma-2-9b,15,3584,0.0024817613884806633
Qwen__Qwen2.5-7B,google__gemma-2-9b,16,3584,-0.00743858190253377
Qwen__Qwen2.5-7B,google__gemma-2-9b,17,3584,0.0045051597990095615
Qwen__Qwen2.5-7B,google__gemma-2-9b,18,3584,0.00036960275610908866
Qwen__Qwen2.5-7B,google__gemma-2-9b,19,3584,0.013293241150677204
Qwen__Qwen2.5-7B,google__gemma-2-9b,20,3584,0.016907988116145134
Qwen__Qwen2.5-7B,google__gemma-2-9b,21,3584,0.008087904192507267
Qwen__Qwen2.5-7B,google__gemma-2-9b,22,3584,0.011169526726007462
Qwen__Qwen2.5-7B,google__gemma-2-9b,23,3584,-0.002422753721475601
Qwen__Qwen2.5-7B,google__gemma-2-9b,24,3584,-0.005745544098317623
Qwen__Qwen2.5-7B,google__gemma-2-9b,25,3584,-0.021727265790104866
Qwen__Qwen2.5-7B,google__gemma-2-9b,26,3584,-0.0029132449999451637
Qwen__Qwen2.5-7B,google__gemma-2-9b,27,3584,-0.008946388959884644
Qwen__Qwen2.5-7B,google__gemma-2-9b-it,0,3584,-0.0122009152546525
Qwen__Qwen2.5-7B,google__gemma-2-9b-it,1,3584,-0.006568857468664646
Qwen__Qwen2.5-7B,google__gemma-2-9b-it,2,3584,0.01402240339666605
Qwen__Qwen2.5-7B,google__gemma-2-9b-it,3,3584,0.024747811257839203
Qwen__Qwen2.5-7B,google__gemma-2-9b-it,4,3584,0.00745558412745595
Qwen__Qwen2.5-7B,google__gemma-2-9b-it,5,3584,-0.0017209184588864446
Qwen__Qwen2.5-7B,google__gemma-2-9b-it,6,3584,-0.0033964088652282953
Qwen__Qwen2.5-7B,google__gemma-2-9b-it,7,3584,-0.02636796608567238
Qwen__Qwen2.5-7B,google__gemma-2-9b-it,8,3584,-0.010030070319771767
Qwen__Qwen2.5-7B,google__gemma-2-9b-it,9,3584,-0.005452646873891354
Qwen__Qwen2.5-7B,google__gemma-2-9b-it,10,3584,-0.005233325529843569
Qwen__Qwen2.5-7B,google__gemma-2-9b-it,11,3584,0.012414761818945408
Qwen__Qwen2.5-7B,google__gemma-2-9b-it,12,3584,0.0024761531967669725
Qwen__Qwen2.5-7B,google__gemma-2-9b-it,13,3584,-0.002943117870017886
Qwen__Qwen2.5-7B,google__gemma-2-9b-it,14,3584,-0.0003949622914660722
Qwen__Qwen2.5-7B,google__gemma-2-9b-it,15,3584,-0.0011143824085593224
Qwen__Qwen2.5-7B,google__gemma-2-9b-it,16,3584,0.00013075955212116241
Qwen__Qwen2.5-7B,google__gemma-2-9b-it,17,3584,0.01276151929050684
Qwen__Qwen2.5-7B,google__gemma-2-9b-it,18,3584,0.007568668574094772
Qwen__Qwen2.5-7B,google__gemma-2-9b-it,19,3584,0.016613611951470375
Qwen__Qwen2.5-7B,google__gemma-2-9b-it,20,3584,-5.544326631934382e-05
Qwen__Qwen2.5-7B,google__gemma-2-9b-it,21,3584,-0.005246325396001339
Qwen__Qwen2.5-7B,google__gemma-2-9b-it,22,3584,0.014089536853134632
Qwen__Qwen2.5-7B,google__gemma-2-9b-it,23,3584,0.012739503756165504
Qwen__Qwen2.5-7B,google__gemma-2-9b-it,24,3584,0.0004608454182744026
Qwen__Qwen2.5-7B,google__gemma-2-9b-it,25,3584,-0.009034642018377781
Qwen__Qwen2.5-7B,google__gemma-2-9b-it,26,3584,-0.00343808950856328
Qwen__Qwen2.5-7B,google__gemma-2-9b-it,27,3584,0.006026387680321932
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b,0,3584,-0.009660121984779835
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b,1,3584,-0.00902682263404131
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b,2,3584,0.018757589161396027
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b,3,3584,0.02911440096795559
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b,4,3584,0.0012335407081991434
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b,5,3584,0.0015611003618687391
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b,6,3584,-0.0024285458493977785
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b,7,3584,-0.022434305399656296
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b,8,3584,-0.010029059834778309
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b,9,3584,0.000234212726354599
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b,10,3584,0.001335227396339178
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b,11,3584,0.010645261965692043
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b,12,3584,0.01033949013799429
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b,13,3584,0.01453923899680376
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b,14,3584,0.016431136056780815
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b,15,3584,0.008481346070766449
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b,16,3584,0.007184751331806183
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b,17,3584,0.01454263273626566
Qwen__Qwen2.5-7B-Instruct,google__gemma-2-9b,18,3584,0.006453714333474636
